id;project_id;bid_id;worker_id;unread_employer;unread_worker;total_messages;favorite;last_by;created;created_at
35434029;3164335;26209693;888591;0;0;49;FALSO;worker;2025-7-11, 19:10;11/07/2025
35434275;3164335;26209894;8193368;0;0;1;FALSO;worker;2025-7-11, 19:41;11/07/2025
35437284;3164335;26211892;2477;1;0;1;FALSO;worker;2025-7-12, 09:58;12/07/2025
35437556;3164335;26212050;10254479;1;0;1;FALSO;worker;2025-7-12, 10:29;12/07/2025
35437886;3164335;26212251;605042;1;0;1;FALSO;worker;2025-7-12, 11:07;12/07/2025
35438614;3164335;26212767;9372283;0;0;0;FALSO;worker;2025-7-12, 12:43;12/07/2025
35439269;3164335;26213203;10451716;1;0;1;FALSO;worker;2025-7-12, 13:57;12/07/2025
35439352;3164335;26213253;1495135;1;0;1;FALSO;worker;2025-7-12, 14:07;12/07/2025
35439924;3164335;26213662;5799634;1;0;1;FALSO;worker;2025-7-12, 15:19;12/07/2025
35440173;3164335;26213829;6351503;1;0;1;FALSO;worker;2025-7-12, 15:51;12/07/2025
35517610;3164335;26266262;1922355;1;0;1;FALSO;worker;2025-7-18, 11:33;18/07/2025
35432465;3164339;26208674;6945104;0;0;2;FALSO;worker;2025-7-11, 16:45;11/07/2025
35432604;3164339;26208763;9607968;0;0;1;FALSO;worker;2025-7-11, 16:54;11/07/2025
35432628;3164339;26208779;9401095;0;0;1;FALSO;worker;2025-7-11, 16:55;11/07/2025
35432667;3164339;26208808;10461647;0;0;1;FALSO;worker;2025-7-11, 16:59;11/07/2025
35433308;3164339;26209200;3524349;0;0;2;FALSO;worker;2025-7-11, 17:51;11/07/2025
35433405;3164339;26209265;6409250;0;0;1;FALSO;worker;2025-7-11, 18:00;11/07/2025
35433495;3164339;26209332;9907027;0;0;1;FALSO;worker;2025-7-11, 18:11;11/07/2025
35433530;3164339;26209362;5553895;0;0;1;FALSO;worker;2025-7-11, 18:16;11/07/2025
35433687;3164339;26209471;2223126;0;0;1;FALSO;worker;2025-7-11, 18:33;11/07/2025
35434282;3164339;26209895;756178;0;0;1;FALSO;worker;2025-7-11, 19:41;11/07/2025
35434474;3164339;26210036;323629;1;0;1;FALSO;worker;2025-7-11, 20:10;11/07/2025
35434540;3164339;26210072;8654905;0;0;1;FALSO;worker;2025-7-11, 20:16;11/07/2025
35434714;3164339;26210205;40165;0;0;1;FALSO;worker;2025-7-11, 20:43;11/07/2025
35435597;3164339;26210828;944394;0;0;1;FALSO;worker;2025-7-11, 23:08;11/07/2025
35435626;3164339;26210848;9663527;0;0;1;FALSO;worker;2025-7-11, 23:14;11/07/2025
35435877;3164339;26211030;7142118;0;0;1;FALSO;worker;2025-7-12, 00:16;12/07/2025
35436188;3164339;26211236;5095563;0;0;1;FALSO;worker;2025-7-12, 02:10;12/07/2025
35440107;3164339;26213784;4900492;0;0;1;FALSO;worker;2025-7-12, 15:43;12/07/2025
35448453;3164339;26219295;24166;0;0;1;FALSO;worker;2025-7-13, 20:15;13/07/2025
35452958;3164339;26222585;4279376;1;0;1;FALSO;worker;2025-7-14, 09:47;14/07/2025
35432173;3164339;26230745;8291459;1;0;1;FALSO;worker;2025-7-11, 16:24;11/07/2025
35432595;3164339;26232357;2050876;1;0;2;FALSO;worker;2025-7-11, 16:53;11/07/2025
35439621;3164339;26235183;8229748;1;0;2;FALSO;worker;2025-7-12, 14:44;12/07/2025
35480468;3164339;26241702;8936214;1;0;1;FALSO;worker;2025-7-15, 18:41;15/07/2025
